time,load
1/10/16 1:59,54.6
1/10/16 2:59,57
1/10/16 3:59,58
1/10/16 4:59,56.9
1/10/16 5:59,59.5
1/10/16 6:59,58.3
1/10/16 7:59,59.1
1/10/16 8:59,45.1
1/10/16 9:59,38.5
1/10/16 10:59,39.8
1/10/16 11:59,40.3
1/10/16 12:59,45.1
1/10/16 13:59,46.7
1/10/16 14:59,43.4
1/10/16 15:59,43.7
1/10/16 16:59,62.3
1/10/16 17:59,67.9
1/10/16 18:59,72.3
1/10/16 19:59,68.6
1/10/16 20:59,70.1
1/10/16 21:59,64.7
1/10/16 22:59,67
1/10/16 23:59,63.1
1/11/16 0:59,63.1
1/11/16 1:59,60.9
1/11/16 2:59,62.4
1/11/16 3:59,62.2
1/11/16 4:59,62.7
1/11/16 5:59,67.1
1/11/16 6:59,64.6
1/11/16 7:59,64
1/11/16 8:59,81.4
1/11/16 9:59,55
1/11/16 10:59,47.9
1/11/16 11:59,49.5
1/11/16 12:59,48.7
1/11/16 13:59,56.4
1/11/16 14:59,63.2
1/11/16 15:59,65.7
1/11/16 16:59,68.4
1/11/16 17:59,67
1/11/16 18:59,69.1
1/11/16 19:59,68.1
1/11/16 20:59,66
1/11/16 21:59,62
1/11/16 22:59,62.5
1/11/16 23:59,60.1
1/12/16 0:59,62.6
1/12/16 1:59,56.8
1/12/16 2:59,58.4
1/12/16 3:59,59.2
1/12/16 4:59,59.1
1/12/16 5:59,59.5
1/12/16 6:59,56.8
1/12/16 7:59,59.7
1/12/16 8:59,57.4
1/12/16 9:59,50.7
1/12/16 10:59,44.5
1/12/16 11:59,44.3
1/12/16 12:59,46.9
1/12/16 13:59,46.3
1/12/16 14:59,45.9
1/12/16 15:59,44.6
1/12/16 16:59,55.7
1/12/16 17:59,71.6
1/12/16 18:59,72.3
1/12/16 19:59,70.5
1/12/16 20:59,69.9
1/12/16 21:59,67.8
1/12/16 22:59,66.4
1/12/16 23:59,63.7
1/13/16 0:59,63.7
1/13/16 1:59,61.7
1/13/16 2:59,60.1
1/13/16 3:59,61.7
1/13/16 4:59,61.8
1/13/16 5:59,63.6
1/13/16 6:59,60.3
1/13/16 7:59,60.2
1/13/16 8:59,46.6
1/13/16 9:59,39.9
1/13/16 10:59,38.6
1/13/16 11:59,38.9
1/13/16 12:59,37.1
1/13/16 13:59,39.1
1/13/16 14:59,39.4
1/13/16 15:59,41.6
1/13/16 16:59,44.8
1/13/16 17:59,69.9
1/13/16 18:59,73.1
1/13/16 19:59,74.1
1/13/16 20:59,71
1/13/16 21:59,71.2
1/13/16 22:59,69.8
1/13/16 23:59,66.2
1/14/16 0:59,66.9
1/14/16 1:59,62.7
1/14/16 2:59,63.7
1/14/16 3:59,65.6
1/14/16 4:59,64.6
1/14/16 5:59,65.5
1/14/16 6:59,63.5
1/14/16 7:59,57.9
1/14/16 8:59,58.3
1/14/16 9:59,53.1
1/14/16 10:59,48.4
1/14/16 11:59,49
1/14/16 12:59,47.5
1/14/16 13:59,49.8
1/14/16 14:59,50.7
1/14/16 15:59,51.5
1/14/16 16:59,50.1
1/14/16 17:59,62.3
1/14/16 18:59,67.9
1/14/16 19:59,66.5
1/14/16 20:59,69.4
1/14/16 21:59,66.4
1/14/16 22:59,63
1/14/16 23:59,60.6
1/15/16 0:59,63.7
1/15/16 1:59,57.8
1/15/16 2:59,58.6
1/15/16 3:59,58.7
1/15/16 4:59,60.5
1/15/16 5:59,59.4
1/15/16 6:59,57
1/15/16 7:59,48.5
1/15/16 8:59,44.8
1/15/16 9:59,42.7
1/15/16 10:59,39.3
1/15/16 11:59,34.6
1/15/16 12:59,32.8
1/15/16 13:59,35.2
1/15/16 14:59,37.6
1/15/16 15:59,39.5
1/15/16 16:59,40.3
1/15/16 17:59,65.9
1/15/16 18:59,67.2
1/15/16 19:59,65.3
1/15/16 20:59,67.1
1/15/16 21:59,63.2
1/15/16 22:59,64
1/15/16 23:59,61.9
1/16/16 0:59,61.9
1/16/16 1:59,57.9
1/16/16 2:59,59.8
1/16/16 3:59,59.4
1/16/16 4:59,61.4
1/16/16 5:59,60.9
1/16/16 6:59,61.3
1/16/16 7:59,36.9
1/16/16 8:59,36.6
1/16/16 9:59,36.4
1/16/16 10:59,35.9
1/16/16 11:59,33.9
1/16/16 12:59,31.5
1/16/16 13:59,35.1
1/16/16 14:59,36.9
1/16/16 15:59,39.9
1/16/16 16:59,39.6
1/16/16 17:59,63.3
1/16/16 18:59,65.8
1/16/16 19:59,63.8
1/16/16 20:59,66.6
1/16/16 21:59,62.3
1/16/16 22:59,61.4
1/16/16 23:59,57.5
1/17/16 0:59,61.3
1/17/16 1:59,57.6
1/17/16 2:59,58.5
1/17/16 3:59,59.1
1/17/16 4:59,61.7
1/17/16 5:59,62.3
1/17/16 6:59,61.7
1/17/16 7:59,43.3
1/17/16 8:59,37
1/17/16 9:59,34.3
1/17/16 10:59,33.2
1/17/16 11:59,31.6
1/17/16 12:59,31.5
1/17/16 13:59,33.5
1/17/16 14:59,36
1/17/16 15:59,38.2
1/17/16 16:59,39.2
1/17/16 17:59,60.7
1/17/16 18:59,64.6
1/17/16 19:59,65.6
1/17/16 20:59,68.4
1/17/16 21:59,66.9
1/17/16 22:59,66.1
1/17/16 23:59,63.7
1/18/16 0:59,62.9
1/18/16 1:59,60.5
1/18/16 2:59,59.1
1/18/16 3:59,61.8
1/18/16 4:59,60
1/18/16 5:59,60.4
1/18/16 6:59,57.6
1/18/16 7:59,35.5
1/18/16 8:59,34.7
1/18/16 9:59,34.3
1/18/16 10:59,33.3
1/18/16 11:59,31.9
1/18/16 12:59,32.8
1/18/16 13:59,35.3
1/18/16 14:59,35.8
1/18/16 15:59,37.4
1/18/16 16:59,37.4
1/18/16 17:59,64.2
1/18/16 18:59,67.8
1/18/16 19:59,67.4
1/18/16 20:59,66.7
1/18/16 21:59,64.6
1/18/16 22:59,63.9
1/18/16 23:59,62.2
1/19/16 0:59,63.6
1/19/16 1:59,58.7
1/19/16 2:59,60.2
1/19/16 3:59,58.9
1/19/16 4:59,60.3
1/19/16 5:59,61.3
1/19/16 6:59,59.3
1/19/16 7:59,35.6
1/19/16 8:59,34.7
1/19/16 9:59,34.1
1/19/16 10:59,34.5
1/19/16 11:59,30.9
1/19/16 12:59,30.9
1/19/16 13:59,33.1
1/19/16 14:59,37.2
1/19/16 15:59,39.5
1/19/16 16:59,40.7
1/19/16 17:59,67.8
1/19/16 18:59,70.9
1/19/16 19:59,68.5
1/19/16 20:59,69.2
1/19/16 21:59,66
1/19/16 22:59,64.4
1/19/16 23:59,63
1/20/16 0:59,62.4
1/20/16 1:59,58.7
1/20/16 2:59,61.9
1/20/16 3:59,61.1
1/20/16 4:59,61.6
1/20/16 5:59,64.2
1/20/16 6:59,59.7
1/20/16 7:59,58.1
1/20/16 8:59,53.8
1/20/16 9:59,45.8
1/20/16 10:59,39.4
1/20/16 11:59,35.5
1/20/16 12:59,36.5
1/20/16 13:59,38.1
1/20/16 14:59,39
1/20/16 15:59,41.9
1/20/16 16:59,40.2
1/20/16 17:59,71.1
1/20/16 18:59,73.9
1/20/16 19:59,73.9
1/20/16 20:59,75
1/20/16 21:59,71.1
1/20/16 22:59,68.8
1/20/16 23:59,67.1
1/21/16 0:59,67.5
1/21/16 1:59,65
1/21/16 2:59,64.4
1/21/16 3:59,65.2
1/21/16 4:59,67.8
1/21/16 5:59,67.5
1/21/16 6:59,65.1
1/21/16 7:59,60.6
1/21/16 8:59,43.2
1/21/16 9:59,38
1/21/16 10:59,36
1/21/16 11:59,35.4
1/21/16 12:59,35.7
1/21/16 13:59,34.6
1/21/16 14:59,39.2
1/21/16 15:59,40.4
1/21/16 16:59,42.1
1/21/16 17:59,65.5
1/21/16 18:59,72.6
1/21/16 19:59,74.2
1/21/16 20:59,71.9
1/21/16 21:59,68.8
1/21/16 22:59,68.8
1/21/16 23:59,65.2
1/22/16 0:59,64.2
1/22/16 1:59,62.5
1/22/16 2:59,59
1/22/16 3:59,61.3
1/22/16 4:59,61.8
1/22/16 5:59,66.5
1/22/16 6:59,62.6
1/22/16 7:59,62.6
1/22/16 8:59,45.1
1/22/16 9:59,38.2
1/22/16 10:59,35.8
1/22/16 11:59,35.1
1/22/16 12:59,34.5
1/22/16 13:59,35
1/22/16 14:59,38.2
1/22/16 15:59,39.7
1/22/16 16:59,42.2
1/22/16 17:59,64.1
1/22/16 18:59,69.7
1/22/16 19:59,70.2
1/22/16 20:59,70.8
1/22/16 21:59,69.4
1/22/16 22:59,68.2
1/22/16 23:59,67
1/23/16 0:59,64.9
1/23/16 1:59,61.4
1/23/16 2:59,64.3
1/23/16 3:59,64.3
1/23/16 4:59,65.2
1/23/16 5:59,67.2
1/23/16 6:59,65
1/23/16 7:59,56.9
1/23/16 8:59,42.7
1/23/16 9:59,38.5
1/23/16 10:59,38.5
1/23/16 11:59,35.9
1/23/16 12:59,35.5
1/23/16 13:59,36.4
1/23/16 14:59,38.6
1/23/16 15:59,42
1/23/16 16:59,43.2
1/23/16 17:59,63.5
1/23/16 18:59,64.9
1/23/16 19:59,66.6
1/23/16 20:59,66.9
1/23/16 21:59,64.4
1/23/16 22:59,66
1/23/16 23:59,63.3
1/24/16 0:59,64.4
1/24/16 1:59,64.9
1/24/16 2:59,64.2
1/24/16 3:59,66.2
1/24/16 4:59,66
1/24/16 5:59,66.8
1/24/16 6:59,62.6
1/24/16 7:59,39.3
1/24/16 8:59,39.9
1/24/16 9:59,38.1
1/24/16 10:59,37
1/24/16 11:59,36.9
1/24/16 12:59,34.8
1/24/16 13:59,38.6
1/24/16 14:59,40.1
1/24/16 15:59,43.8
1/24/16 16:59,43.4
1/24/16 17:59,64.3
1/24/16 18:59,63.9
1/24/16 19:59,64.2
1/24/16 20:59,64.2
1/24/16 21:59,62.7
1/24/16 22:59,64.4
1/24/16 23:59,64.6
1/25/16 0:59,64.1
1/25/16 1:59,62.8
1/25/16 2:59,65.7
1/25/16 3:59,65.4
1/25/16 4:59,64.7
1/25/16 5:59,65.3
1/25/16 6:59,65.7
1/25/16 7:59,39.7
