utility,utility_tariff_name,bill_start_date,bill_end_date,bill_days,bill_statement_date,bill_total_kWh,bill_total,updated,bill_volume,bill_total_unit
PG&E,G1 T Residential Service,10/1/17,10/17/17,17,10/18/17,,3.79,2017-10-29T19:04:27.571020+00:00,3.517241,therms
PG&E,G1 T Residential Service,9/19/17,9/30/17,12,10/18/17,,2.59,2017-10-29T19:04:27.517076+00:00,2.482759,therms
PG&E,G1 T Residential Service,9/1/17,9/18/17,18,9/19/17,,3.52,2017-10-29T19:04:34.634504+00:00,3.375,therms
PG&E,G1 T Residential Service,8/18/17,8/31/17,14,9/19/17,,2.86,2017-10-29T19:04:34.578622+00:00,2.625,therms
PG&E,G1 T Residential Service,8/1/17,8/17/17,17,8/18/17,,3.09,2017-10-29T19:04:41.883800+00:00,2.833333,therms
PG&E,G1 T Residential Service,7/19/17,7/31/17,13,8/18/17,,2.35,2017-10-29T19:04:41.828015+00:00,2.166667,therms
PG&E,G1 T Residential Service,7/1/17,7/18/17,18,7/19/17,,4.86,2017-10-29T19:05:10.956885+00:00,4.5,therms
PG&E,G1 T Residential Service,6/17/17,6/30/17,14,7/19/17,,4.02,2017-10-29T19:05:10.902647+00:00,3.5,therms
PG&E,G1 T Residential Service,6/1/17,6/16/17,16,6/18/17,,4.27,2017-10-29T19:05:18.135002+00:00,3.733333,therms
PG&E,G1 T Residential Service,5/18/17,5/31/17,14,6/18/17,,3.75,2017-10-29T19:05:18.077742+00:00,3.266667,therms
PG&E,G1 T Residential Service,5/1/17,5/17/17,17,5/18/17,,2.7,2017-10-29T19:05:39.106548+00:00,2.344828,therms
PG&E,G1 T Residential Service,4/19/17,4/30/17,12,5/18/17,,1.94,2017-10-29T19:05:39.054909+00:00,1.655172,therms
PG&E,G1 T Residential Service,4/1/17,4/18/17,18,4/19/17,,5.27,2017-10-29T19:06:10.166969+00:00,4.5,therms
PG&E,G1 T Residential Service,3/18/17,3/31/17,14,4/19/17,,4.04,2017-10-29T19:06:10.110835+00:00,3.5,therms
PG&E,G1 T Residential Service,3/1/17,3/17/17,17,3/19/17,,6.54,2017-10-29T19:07:07.198132+00:00,5.666667,therms
PG&E,G1 T Residential Service,2/16/17,2/28/17,13,3/19/17,,5.16,2017-10-29T19:07:07.141751+00:00,4.333333,therms
PG&E,G1 T Residential Service,2/1/17,2/15/17,15,2/16/17,,8.61,2017-10-29T19:07:23.748261+00:00,7.241379,therms
PG&E,G1 T Residential Service,1/18/17,1/31/17,14,2/16/17,,8.09,2017-10-29T19:07:23.688122+00:00,6.758621,therms
PG&E,G1 T Residential Service,1/1/17,1/17/17,17,1/18/17,,8.64,2017-10-29T19:07:30.747206+00:00,7.212121,therms
PG&E,G1 T Residential Service,12/16/16,12/31/16,16,1/18/17,,8.33,2017-10-29T19:07:30.679688+00:00,6.787879,therms
PG&E,G1 T Residential Service,12/1/16,12/15/16,15,12/16/16,,8.9,2017-10-29T19:07:37.690218+00:00,7.241379,therms
PG&E,G1 T Residential Service,11/17/16,11/30/16,14,12/16/16,,8.67,2017-10-29T19:07:37.624202+00:00,6.758621,therms
PG&E,G1 T Residential Service,11/1/16,11/16/16,16,11/17/16,,4.79,2017-10-29T19:07:44.587766+00:00,3.733333,therms
PG&E,G1 T Residential Service,10/18/16,10/31/16,14,11/17/16,,4.01,2017-10-29T19:07:44.528023+00:00,3.266667,therms
PG&E,G1 T Residential Service,10/1/16,10/17/16,17,10/18/16,,2.69,2017-10-29T19:07:51.680241+00:00,2.193548,therms
PG&E,G1 T Residential Service,9/17/16,9/30/16,14,10/18/16,,2.06,2017-10-29T19:07:51.621286+00:00,1.806452,therms
PG&E,G1 T Residential Service,9/1/16,9/16/16,16,9/18/16,,1.22,2017-10-29T19:07:58.516944+00:00,1.066667,therms
PG&E,G1 T Residential Service,8/18/16,8/31/16,14,9/18/16,,1.07,2017-10-29T19:07:58.453680+00:00,0.933333,therms
PG&E,G1 T Residential Service,8/1/16,8/17/16,17,8/18/16,,5.02,2017-10-29T19:08:05.528489+00:00,3.4,therms
PG&E,G1 T Residential Service,7/19/16,7/31/16,13,8/18/16,,3.31,2017-10-29T19:08:05.473603+00:00,2.6,therms
PG&E,G1 T Residential Service,7/1/16,7/18/16,18,7/19/16,,5.01,2017-10-29T19:08:45.819284+00:00,3.9375,therms
PG&E,G1 T Residential Service,6/17/16,6/30/16,14,7/19/16,,3.7,2017-10-29T19:08:45.756521+00:00,3.0625,therms
PG&E,G1 T Residential Service,5/1/16,5/17/16,17,5/18/16,,3.7,2017-10-29T19:09:48.452780+00:00,2.93103,therms
PG&E,G1 T Residential Service,4/19/16,4/30/16,12,5/18/16,,2.55,2017-10-29T19:09:48.389213+00:00,2.06897,therms
PG&E,G1 T Residential Service,12/1/15,12/16/15,16,12/17/15,,8.07,2017-10-29T19:10:05.082264+00:00,6.06897,therms
PG&E,G1 T Residential Service,11/18/15,11/30/15,13,12/17/15,,6.51,2017-10-29T19:10:05.000758+00:00,4.93103,therms
PG&E,G1 T Residential Service,11/1/15,11/17/15,17,11/18/15,,6.3,2017-10-29T19:10:12.298638+00:00,4.78125,therms
PG&E,G1 T Residential Service,10/17/15,10/31/15,15,11/18/15,,5.3,2017-10-29T19:10:12.018985+00:00,4.21875,therms
