utility,utility_tariff_name,bill_start_date,bill_end_date,bill_days,bill_statement_date,bill_total_kWh,bill_total,updated,bill_volume,bill_total_unit
PG&E,G1 T Residential Service,10/1/17,10/17/17,17,11/1/17,,15.45,2017-11-08T21:29:36.661413+00:00,11.13793,therms
PG&E,G1 T Residential Service,9/19/17,9/30/17,12,11/1/17,,10.53,2017-11-08T21:29:36.581918+00:00,7.86207,therms
PG&E,G1 T Residential Service,9/1/17,9/18/17,18,10/3/17,,16.59,2017-11-08T21:29:37.050467+00:00,12.375,therms
PG&E,G1 T Residential Service,8/18/17,8/31/17,14,10/3/17,,13.48,2017-11-08T21:29:36.984737+00:00,9.625,therms
PG&E,G1 T Residential Service,8/1/17,8/17/17,17,9/1/17,,17.88,2017-11-08T21:29:36.569076+00:00,12.46667,therms
PG&E,G1 T Residential Service,7/19/17,7/31/17,13,9/1/17,,13.57,2017-11-08T21:29:36.498815+00:00,9.53333,therms
PG&E,G1 T Residential Service,7/1/17,7/18/17,18,8/2/17,,21.61,2017-11-08T21:29:36.721374+00:00,14.625,therms
PG&E,G1 T Residential Service,6/17/17,6/30/17,14,8/2/17,,17.71,2017-11-08T21:29:36.648122+00:00,11.375,therms
PG&E,G1 T Residential Service,6/1/17,6/16/17,16,7/2/17,,26.38,2017-11-08T21:29:36.584790+00:00,16,therms
PG&E,G1 T Residential Service,5/18/17,5/31/17,14,7/2/17,,23.2,2017-11-08T21:29:36.514071+00:00,14,therms
PG&E,G1 T Residential Service,5/1/17,5/17/17,17,6/2/17,,35.38,2017-11-08T21:29:37.021904+00:00,20.51724,therms
PG&E,G1 T Residential Service,4/19/17,4/30/17,12,6/2/17,,25.34,2017-11-08T21:29:36.934778+00:00,14.48276,therms
PG&E,G1 T Residential Service,4/1/17,4/18/17,18,5/3/17,,47.79,2017-11-08T21:29:36.879481+00:00,26.4375,therms
PG&E,G1 T Residential Service,3/18/17,3/31/17,14,5/3/17,,30.49,2017-11-08T21:29:36.807931+00:00,20.5625,therms
PG&E,G1 T Residential Service,3/1/17,3/17/17,17,4/2/17,,47.78,2017-11-08T21:29:36.315866+00:00,31.73333,therms
PG&E,G1 T Residential Service,2/16/17,2/28/17,13,4/2/17,,37.61,2017-11-08T21:29:36.246647+00:00,24.26667,therms
PG&E,G1 T Residential Service,2/1/17,2/15/17,15,3/3/17,,67.14,2017-11-08T21:29:36.076528+00:00,39.31035,therms
PG&E,G1 T Residential Service,1/18/17,1/31/17,14,3/3/17,,63.07,2017-11-08T21:29:36.015169+00:00,36.68966,therms
PG&E,G1 T Residential Service,1/1/17,1/17/17,17,2/1/17,,66.29,2017-11-08T21:29:37.645224+00:00,39.66667,therms
PG&E,G1 T Residential Service,12/16/16,12/31/16,16,2/1/17,,63.91,2017-11-08T21:29:37.540825+00:00,37.33333,therms
PG&E,G1 T Residential Service,12/1/16,12/15/16,15,1/1/17,,54.64,2017-11-08T21:29:37.038827+00:00,32.58621,therms
PG&E,G1 T Residential Service,11/17/16,11/30/16,14,1/1/17,,53.11,2017-11-08T21:29:36.964017+00:00,30.41379,therms
PG&E,G1 T Residential Service,11/1/16,11/16/16,16,12/2/16,,35.77,2017-11-08T21:29:36.391586+00:00,21.86667,therms
PG&E,G1 T Residential Service,10/18/16,10/31/16,14,12/2/16,,35.74,2017-11-08T21:29:36.323912+00:00,19.13333,therms
PG&E,G1 T Residential Service,10/1/16,10/17/16,17,11/1/16,,29.78,2017-11-08T21:29:36.759137+00:00,17,therms
PG&E,G1 T Residential Service,9/17/16,9/30/16,14,11/1/16,,23.17,2017-11-08T21:29:36.676361+00:00,14,therms
PG&E,G1 T Residential Service,9/1/16,9/16/16,16,10/2/16,,23.13,2017-11-08T21:29:36.632196+00:00,14.4,therms
PG&E,G1 T Residential Service,8/18/16,8/31/16,14,10/2/16,,20.44,2017-11-08T21:29:36.558842+00:00,12.6,therms
PG&E,G1 T Residential Service,8/1/16,8/17/16,17,9/2/16,,24.82,2017-11-08T21:29:36.540122+00:00,15.3,therms
PG&E,G1 T Residential Service,7/19/16,7/31/16,13,9/2/16,,16.32,2017-11-08T21:29:36.475790+00:00,11.7,therms
PG&E,G1 T Residential Service,7/1/16,7/18/16,18,8/3/16,,25.81,2017-11-08T21:29:36.659294+00:00,18,therms
PG&E,G1 T Residential Service,6/17/16,6/30/16,14,8/3/16,,19.16,2017-11-08T21:29:36.583282+00:00,14,therms
PG&E,G1 T Residential Service,6/1/16,6/16/16,16,7/1/16,,23.72,2017-11-08T21:29:35.717579+00:00,17.06667,therms
PG&E,G1 T Residential Service,5/18/16,5/31/16,14,7/1/16,,21.68,2017-11-08T21:29:35.660304+00:00,14.93333,therms
PG&E,G1 T Residential Service,5/1/16,5/17/16,17,6/2/16,,39,2017-11-08T21:29:36.880480+00:00,25.2069,therms
PG&E,G1 T Residential Service,4/19/16,4/30/16,12,6/2/16,,26.95,2017-11-08T21:29:36.807054+00:00,17.7931,therms
PG&E,G1 T Residential Service,4/1/16,4/18/16,18,5/3/16,,39.95,2017-11-08T21:29:35.927561+00:00,26.4375,therms
PG&E,G1 T Residential Service,3/18/16,3/31/16,14,5/3/16,,23.51,2017-11-08T21:29:35.869089+00:00,20.5625,therms
PG&E,G1 T Residential Service,3/1/16,3/17/16,17,4/1/16,,37.83,2017-11-08T21:29:35.749076+00:00,32.24138,therms
PG&E,G1 T Residential Service,2/18/16,2/29/16,12,4/1/16,,33.29,2017-11-08T21:29:35.692755+00:00,22.75862,therms
PG&E,G1 T Residential Service,2/1/16,2/17/16,17,3/3/16,,68.79,2017-11-08T21:29:35.599223+00:00,43.27273,therms
PG&E,G1 T Residential Service,1/16/16,1/31/16,16,3/3/16,,63.33,2017-11-08T21:29:35.547110+00:00,40.72727,therms
PG&E,G1 T Residential Service,1/1/16,1/15/16,15,2/2/16,,16.41,2017-11-08T21:29:35.943263+00:00,11.73913,therms
PG&E,G1 T Residential Service,12/1/15,12/31/15,31,2/2/16,,32.28,2017-11-08T21:29:35.896302+00:00,24.26087,therms
PG&E,G1 T Residential Service,11/1/15,11/30/15,30,2/2/16,,31,2017-11-08T21:29:35.850000+00:00,23.47826,therms
PG&E,G1 T Residential Service,10/16/15,10/31/15,16,2/2/16,,16.77,2017-11-08T21:29:35.781554+00:00,12.52174,therms
