utility,utility_tariff_name,bill_start_date,bill_end_date,bill_days,bill_statement_date,bill_total_kWh,bill_total,updated,bill_volume,bill_total_unit
PG&E,G1 T Residential Service,8/1/17,8/17/17,17,8/18/17,,15.08,2017-10-30T17:16:55.280704+00:00,10.76667,therms
PG&E,G1 T Residential Service,7/19/17,7/31/17,13,8/18/17,,11.44,2017-10-30T17:16:55.198600+00:00,8.23333,therms
PG&E,G1 T Residential Service,7/1/17,7/18/17,18,7/19/17,,15.65,2017-10-30T17:17:01.853862+00:00,11.25,therms
PG&E,G1 T Residential Service,6/17/17,6/30/17,14,7/19/17,,12.87,2017-10-30T17:17:01.791476+00:00,8.75,therms
PG&E,G1 T Residential Service,6/1/17,6/16/17,16,6/18/17,,14.9,2017-10-30T17:17:08.745600+00:00,10.13333,therms
PG&E,G1 T Residential Service,5/18/17,5/31/17,14,6/18/17,,13.11,2017-10-30T17:17:08.692850+00:00,8.86667,therms
PG&E,G1 T Residential Service,5/1/17,5/17/17,17,5/18/17,,22.15,2017-10-30T17:17:16.094185+00:00,14.06897,therms
PG&E,G1 T Residential Service,4/19/17,4/30/17,12,5/18/17,,15.89,2017-10-30T17:17:16.044622+00:00,9.93103,therms
PG&E,G1 T Residential Service,4/1/17,4/18/17,18,4/19/17,,18.62,2017-10-30T17:17:23.107847+00:00,12.375,therms
PG&E,G1 T Residential Service,3/18/17,3/31/17,14,4/19/17,,14.26,2017-10-30T17:17:23.060519+00:00,9.625,therms
PG&E,G1 T Residential Service,3/1/17,3/17/17,17,3/19/17,,27.73,2017-10-30T17:17:30.526642+00:00,18.7,therms
PG&E,G1 T Residential Service,2/16/17,2/28/17,13,3/19/17,,21.84,2017-10-30T17:17:30.472618+00:00,14.3,therms
PG&E,G1 T Residential Service,2/1/17,2/15/17,15,2/16/17,,28.42,2017-10-30T17:17:38.472817+00:00,18.62069,therms
PG&E,G1 T Residential Service,1/18/17,1/31/17,14,2/16/17,,26.72,2017-10-30T17:17:38.407634+00:00,17.37931,therms
PG&E,G1 T Residential Service,1/1/17,1/17/17,17,1/18/17,,38.01,2017-10-30T17:17:47.423284+00:00,24.72727,therms
PG&E,G1 T Residential Service,12/16/16,12/31/16,16,1/18/17,,36.47,2017-10-30T17:17:47.365934+00:00,23.27273,therms
PG&E,G1 T Residential Service,12/1/16,12/15/16,15,12/16/16,,22.69,2017-10-30T17:17:51.832401+00:00,14.48276,therms
PG&E,G1 T Residential Service,11/17/16,11/30/16,14,12/16/16,,22.12,2017-10-30T17:17:51.783470+00:00,13.51724,therms
PG&E,G1 T Residential Service,11/1/16,11/16/16,16,11/17/16,,16.57,2017-10-30T17:17:59.646838+00:00,10.13333,therms
PG&E,G1 T Residential Service,10/18/16,10/31/16,14,11/17/16,,13.81,2017-10-30T17:17:59.586348+00:00,8.86667,therms
PG&E,G1 T Residential Service,10/1/16,10/17/16,17,10/18/16,,19.01,2017-10-30T17:18:06.777217+00:00,12.06452,therms
PG&E,G1 T Residential Service,9/17/16,9/30/16,14,10/18/16,,14.69,2017-10-30T17:18:06.718955+00:00,9.93548,therms
PG&E,G1 T Residential Service,9/1/16,9/16/16,16,9/18/16,,15.59,2017-10-30T17:18:13.919806+00:00,10.66667,therms
PG&E,G1 T Residential Service,8/18/16,8/31/16,14,9/18/16,,13.76,2017-10-30T17:18:13.869780+00:00,9.33333,therms
PG&E,G1 T Residential Service,8/1/16,8/17/16,17,8/18/16,,16.74,2017-10-30T17:18:21.094688+00:00,11.33333,therms
PG&E,G1 T Residential Service,7/19/16,7/31/16,13,8/18/16,,11.02,2017-10-30T17:18:21.038331+00:00,8.66667,therms
PG&E,G1 T Residential Service,7/1/16,7/18/16,18,7/19/16,,13.59,2017-10-30T17:18:28.358202+00:00,10.6875,therms
PG&E,G1 T Residential Service,6/17/16,6/30/16,14,7/19/16,,10.01,2017-10-30T17:18:28.296576+00:00,8.3125,therms
PG&E,G1 T Residential Service,6/1/16,6/16/16,16,6/17/16,,13.57,2017-10-30T17:18:35.359557+00:00,11.2,therms
PG&E,G1 T Residential Service,5/18/16,5/31/16,14,6/17/16,,12.48,2017-10-30T17:18:35.300573+00:00,9.8,therms
