utility,utility_tariff_name,interval_start,interval_end,interval_kWh,interval_kW,updated,interval_timezone
PG&E,E1 TB Residential Service,11/6/17 23:45,11/7/17 0:00,0.02,0.08,2017-11-08T21:20:38.290093+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 23:30,11/6/17 23:45,0.04,0.16,2017-11-08T21:20:38.311561+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 23:15,11/6/17 23:30,0.06,0.24,2017-11-08T21:20:38.294294+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 23:00,11/6/17 23:15,0.03,0.12,2017-11-08T21:20:38.311322+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 22:45,11/6/17 23:00,0.04,0.16,2017-11-08T21:20:38.305852+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 22:30,11/6/17 22:45,0.05,0.2,2017-11-08T21:20:38.298799+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 22:15,11/6/17 22:30,0.05,0.2,2017-11-08T21:20:38.299593+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 22:00,11/6/17 22:15,0.06,0.24,2017-11-08T21:20:38.303259+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 21:45,11/6/17 22:00,0.08,0.32,2017-11-08T21:20:38.287058+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 21:30,11/6/17 21:45,0.06,0.24,2017-11-08T21:20:38.286294+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 21:15,11/6/17 21:30,0.05,0.2,2017-11-08T21:20:38.296787+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 21:00,11/6/17 21:15,0.06,0.24,2017-11-08T21:20:38.293978+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 20:45,11/6/17 21:00,0.14,0.56,2017-11-08T21:20:38.307085+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 20:30,11/6/17 20:45,0.19,0.76,2017-11-08T21:20:38.302276+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 20:15,11/6/17 20:30,0.09,0.36,2017-11-08T21:20:38.301488+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 20:00,11/6/17 20:15,0.26,1.04,2017-11-08T21:20:38.297334+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 19:45,11/6/17 20:00,0.62,2.48,2017-11-08T21:20:38.305738+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 19:30,11/6/17 19:45,0.17,0.68,2017-11-08T21:20:38.289421+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 19:15,11/6/17 19:30,0.08,0.32,2017-11-08T21:20:38.310383+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 19:00,11/6/17 19:15,0.12,0.48,2017-11-08T21:20:38.291638+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 18:45,11/6/17 19:00,0.15,0.6,2017-11-08T21:20:38.310080+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 18:30,11/6/17 18:45,0.16,0.64,2017-11-08T21:20:38.285617+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 18:15,11/6/17 18:30,0.13,0.52,2017-11-08T21:20:38.303139+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 18:00,11/6/17 18:15,0.14,0.56,2017-11-08T21:20:38.298292+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 17:45,11/6/17 18:00,0.08,0.32,2017-11-08T21:20:38.310268+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 17:30,11/6/17 17:45,0.06,0.24,2017-11-08T21:20:38.283190+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 17:15,11/6/17 17:30,0.02,0.08,2017-11-08T21:20:38.303564+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 17:00,11/6/17 17:15,0.02,0.08,2017-11-08T21:20:38.300705+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 16:45,11/6/17 17:00,0.02,0.08,2017-11-08T21:20:38.305008+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 16:30,11/6/17 16:45,0.02,0.08,2017-11-08T21:20:38.283682+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 16:15,11/6/17 16:30,0.04,0.16,2017-11-08T21:20:38.308736+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 16:00,11/6/17 16:15,0.05,0.2,2017-11-08T21:20:38.296550+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 15:45,11/6/17 16:00,0.02,0.08,2017-11-08T21:20:38.287730+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 15:30,11/6/17 15:45,0.02,0.08,2017-11-08T21:20:38.298234+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 15:15,11/6/17 15:30,0.02,0.08,2017-11-08T21:20:38.303017+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 15:00,11/6/17 15:15,0.02,0.08,2017-11-08T21:20:38.287847+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 14:45,11/6/17 15:00,0.03,0.12,2017-11-08T21:20:38.309557+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 14:30,11/6/17 14:45,0.05,0.2,2017-11-08T21:20:38.306144+00:00,US/Pacific
