utility,utility_tariff_name,interval_start,interval_end,interval_kWh,interval_kW,updated,interval_timezone
PG&E,E1 TB Residential Service,7/22/17 23:00,7/23/17 0:00,0.28,0.28,2017-07-24T16:02:29.695610+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 22:00,7/22/17 23:00,0.33,0.33,2017-07-24T16:02:29.691858+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 21:00,7/22/17 22:00,0.33,0.33,2017-07-24T16:02:29.691156+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 20:00,7/22/17 21:00,0.25,0.25,2017-07-24T16:02:29.689454+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 19:00,7/22/17 20:00,0.21,0.21,2017-07-24T16:02:29.691734+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 18:00,7/22/17 19:00,0.22,0.22,2017-07-24T16:02:29.694202+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 17:00,7/22/17 18:00,0.22,0.22,2017-07-24T16:02:29.692290+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 16:00,7/22/17 17:00,0.18,0.18,2017-07-24T16:02:29.692042+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 15:00,7/22/17 16:00,0.21,0.21,2017-07-24T16:02:29.695675+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 14:00,7/22/17 15:00,0.22,0.22,2017-07-24T16:02:29.694265+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 13:00,7/22/17 14:00,0.2,0.2,2017-07-24T16:02:29.692229+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 12:00,7/22/17 13:00,0.2,0.2,2017-07-24T16:02:29.691087+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 11:00,7/22/17 12:00,0.36,0.36,2017-07-24T16:02:29.693448+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 10:00,7/22/17 11:00,0.18,0.18,2017-07-24T16:02:29.691919+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 9:00,7/22/17 10:00,0.15,0.15,2017-07-24T16:02:29.694773+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 8:00,7/22/17 9:00,0.23,0.23,2017-07-24T16:02:29.696433+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 7:00,7/22/17 8:00,0.24,0.24,2017-07-24T16:02:29.694589+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 6:00,7/22/17 7:00,0.19,0.19,2017-07-24T16:02:29.690622+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 5:00,7/22/17 6:00,0.21,0.21,2017-07-24T16:02:29.691218+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 4:00,7/22/17 5:00,0.23,0.23,2017-07-24T16:02:29.694141+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 3:00,7/22/17 4:00,0.24,0.24,2017-07-24T16:02:29.696372+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 2:00,7/22/17 3:00,0.21,0.21,2017-07-24T16:02:29.693770+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 1:00,7/22/17 2:00,0.24,0.24,2017-07-24T16:02:29.694650+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/22/17 0:00,7/22/17 1:00,0.3,0.3,2017-07-24T16:02:29.689865+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 23:00,7/22/17 0:00,0.28,0.28,2017-07-24T16:02:29.689528+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 22:00,7/21/17 23:00,0.26,0.26,2017-07-24T16:02:29.695931+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 21:00,7/21/17 22:00,0.3,0.3,2017-07-24T16:02:29.694958+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 20:00,7/21/17 21:00,0.25,0.25,2017-07-24T16:02:29.695739+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 19:00,7/21/17 20:00,0.17,0.17,2017-07-24T16:02:29.691406+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 18:00,7/21/17 19:00,0.16,0.16,2017-07-24T16:02:29.690370+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 17:00,7/21/17 18:00,0.18,0.18,2017-07-24T16:02:29.696250+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 16:00,7/21/17 17:00,0.18,0.18,2017-07-24T16:02:29.693197+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 15:00,7/21/17 16:00,0.16,0.16,2017-07-24T16:02:29.693262+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 14:00,7/21/17 15:00,0.16,0.16,2017-07-24T16:02:29.695302+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 13:00,7/21/17 14:00,0.18,0.18,2017-07-24T16:02:29.696312+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 12:00,7/21/17 13:00,0.18,0.18,2017-07-24T16:02:29.689800+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 11:00,7/21/17 12:00,0.14,0.14,2017-07-24T16:02:29.693386+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 10:00,7/21/17 11:00,0.17,0.17,2017-07-24T16:02:29.691671+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 9:00,7/21/17 10:00,0.29,0.29,2017-07-24T16:02:29.690244+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 8:00,7/21/17 9:00,0.8,0.8,2017-07-24T16:02:29.693704+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 7:00,7/21/17 8:00,0.96,0.96,2017-07-24T16:02:29.696060+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 6:00,7/21/17 7:00,0.39,0.39,2017-07-24T16:02:29.691343+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 5:00,7/21/17 6:00,0.24,0.24,2017-07-24T16:02:29.695804+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 4:00,7/21/17 5:00,0.21,0.21,2017-07-24T16:02:29.693325+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 3:00,7/21/17 4:00,0.21,0.21,2017-07-24T16:02:29.694896+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 2:00,7/21/17 3:00,0.24,0.24,2017-07-24T16:02:29.695488+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 1:00,7/21/17 2:00,0.24,0.24,2017-07-24T16:02:29.693572+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/21/17 0:00,7/21/17 1:00,0.21,0.21,2017-07-24T16:02:29.691006+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 23:00,7/21/17 0:00,0.39,0.39,2017-07-24T16:02:29.689668+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 22:00,7/20/17 23:00,0.62,0.62,2017-07-24T16:02:29.690690+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 21:00,7/20/17 22:00,0.39,0.39,2017-07-24T16:02:29.692104+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 20:00,7/20/17 21:00,0.31,0.31,2017-07-24T16:02:29.689251+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 19:00,7/20/17 20:00,0.17,0.17,2017-07-24T16:02:29.690496+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 18:00,7/20/17 19:00,0.18,0.18,2017-07-24T16:02:29.696127+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 17:00,7/20/17 18:00,0.18,0.18,2017-07-24T16:02:29.689734+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 16:00,7/20/17 17:00,0.14,0.14,2017-07-24T16:02:29.696189+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 15:00,7/20/17 16:00,0.17,0.17,2017-07-24T16:02:29.693831+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 14:00,7/20/17 15:00,0.18,0.18,2017-07-24T16:02:29.690180+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 13:00,7/20/17 14:00,0.18,0.18,2017-07-24T16:02:29.692995+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 12:00,7/20/17 13:00,0.15,0.15,2017-07-24T16:02:29.692167+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 11:00,7/20/17 12:00,0.18,0.18,2017-07-24T16:02:29.693892+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 10:00,7/20/17 11:00,0.18,0.18,2017-07-24T16:02:29.689372+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 9:00,7/20/17 10:00,0.16,0.16,2017-07-24T16:02:29.693954+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 8:00,7/20/17 9:00,0.15,0.15,2017-07-24T16:02:29.695366+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 7:00,7/20/17 8:00,0.23,0.23,2017-07-24T16:02:29.693063+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 6:00,7/20/17 7:00,0.42,0.42,2017-07-24T16:02:29.694079+00:00,US/Pacific
PG&E,E1 TB Residential Service,7/20/17 5:00,7/20/17 6:00,0.21,0.21,2017-07-24T16:02:29.695021+00:00,US/Pacific
