pv_generation
0
0
0
0
0
0
0
9.66
73.54
27.73
57.11
149.98
154.1
149.93
124.58
84.26
11.66
0
0
0
0
0
0
0
0
0
0
0
0
0
0
9.66
73.54
107.35
142.68
157.55
154.1
149.93
124.58
84.26
11.66
0
0
0
0
0
0
0
0
0
0
0
0
0
0
9.66
73.54
31.03
103.86
151.23
154.1
149.93
124.58
84.26
11.66
0
0
0
0
0
0
0
