prices_to_buy_summer,prices_to_buy_winter,hours
0.13,0.11,0
0.13,0.11,1
0.13,0.11,2
0.13,0.11,3
0.13,0.11,4
0.13,0.11,5
0.13,0.11,6
0.13,0.11,7
0.16,0.13,8
0.16,0.13,9
0.16,0.13,10
0.16,0.13,11
0.16,0.13,12
0.16,0.13,13
0.21,0.13,14
0.21,0.13,15
0.21,0.13,16
0.21,0.13,17
0.21,0.13,18
0.16,0.13,19
0.16,0.13,20
0.16,0.13,21
0.13,0.11,22
0.13,0.11,23
